aX,aY,aZ,gX,gY,gZ
-4,-3.08,1.37,-93.87,21,-272.22
-2.53,-1.82,-0.34,280.76,-133.91,110.53
-0.54,-0.66,-0.06,96.5,-99.12,269.41
0.39,-0.14,-0.31,-22.64,80.51,254.15
0.76,-0.09,-0.59,13.98,54.81,163.82
0.5,-0.38,-0.55,16.05,46.2,151.25
0.22,-0.59,-0.42,-1.22,44.86,185.12
-4,2.51,-0.88,-41.56,-5.62,-377.26
-4,4,-1.05,83.62,-125.55,-1191.41
-4,4,-3.75,500.49,6.77,-2000
-4,0.33,-1.98,-19.1,227.11,-1665.77
-4,-2.13,-2.58,16.91,10.99,-684.75
-4,-2.23,0.51,-112.67,-71.59,-167.05
-2.15,-1.68,0.66,33.14,-124.69,199.77
-0.21,-0.19,0.32,55.97,-13.49,248.54
0.47,-0.26,-0.42,59.51,40.77,149.84
0.34,-0.5,-0.42,34.73,56.46,151.12
-4,1.79,-1.67,45.23,4.64,-265.75
-4,4,-2.36,164.06,-130.86,-877.32
-4,4,-4,650.45,-141.3,-1999.63
-4,3.24,-2.32,8.91,154.79,-1697.51
-4,-1.48,-3.29,457.52,-105.16,-724.24
-4,-2.59,-0.44,-79.77,-25.88,-307.07
-1.85,-1.72,0.19,91.49,-46.14,94.91
-0.5,-0.68,0.33,105.77,-111.94,235.11
0.36,-0.29,-0.3,-14.77,78,226.56
0.31,-0.32,-0.69,-2.93,90.82,196.47
-3.2,1.67,-2.96,69.82,83.07,-132.45
-4,4,-1.73,98.02,19.41,-659.12
-4,4,-3.79,485.72,104.25,-1667.79
-4,3.53,-2.58,-89.84,39.37,-1943.54
-4,-4,0.26,274.72,-312.38,-897.03
-4,-1.45,-1.08,-18.98,46.63,-246.22
-2.18,-2.72,-1.04,-172.91,191.28,-82.34
-0.47,-1,-0.04,122.74,-152.4,49.8
-0.28,-1.13,-0.17,18.07,23.01,85.69
-0.19,-1.07,-0.87,0.79,86.91,142.7
-3.42,2.41,-2.03,65.98,99.37,-37.35
-4,4,-1.99,75.87,10.07,-593.08
-4,4,-3.99,387.51,-6.16,-1527.71
-4,3.99,-3.77,75.13,-48.46,-1934.57
-4,-1.33,-1.29,300.9,-142.15,-963.38
-4,-1.77,-1.36,24.11,14.59,-471.68
-2.92,-2.21,-0.16,-132.87,77.45,-93.44
